id,starttime,endtime,volume,projectedflow,occupancy,averagespeed,rawintervalcount,partition_0,partition_1,partition_2
11373365:61:streams.metro.tmr.its,2020-09-09T09:45:00.000Z,2020-09-09T10:00:00.000Z,101,404,3,82,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T10:00:00.000Z,2020-09-09T10:15:00.000Z,103,412,3,86,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T10:15:00.000Z,2020-09-09T10:30:00.000Z,107,428,3,82,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T10:30:00.000Z,2020-09-09T10:45:00.000Z,74,296,2,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T10:45:00.000Z,2020-09-09T11:00:00.000Z,89,356,2,84,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T11:00:00.000Z,2020-09-09T11:15:00.000Z,75,300,2,84,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T11:15:00.000Z,2020-09-09T11:30:00.000Z,90,360,2,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T11:30:00.000Z,2020-09-09T11:45:00.000Z,67,268,2,84,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T11:45:00.000Z,2020-09-09T12:00:00.000Z,63,252,1,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T12:00:00.000Z,2020-09-09T12:15:00.000Z,75,300,2,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T12:15:00.000Z,2020-09-09T12:30:00.000Z,71,284,2,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T12:30:00.000Z,2020-09-09T12:45:00.000Z,50,200,1,86,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T12:45:00.000Z,2020-09-09T13:00:00.000Z,32,128,1,86,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T13:00:00.000Z,2020-09-09T13:15:00.000Z,33,132,0,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T13:15:00.000Z,2020-09-09T13:30:00.000Z,34,136,0,86,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T13:30:00.000Z,2020-09-09T13:45:00.000Z,33,132,1,86,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T13:45:00.000Z,2020-09-09T14:00:00.000Z,29,116,0,84,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T14:00:00.000Z,2020-09-09T14:15:00.000Z,15,60,0,82,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T14:15:00.000Z,2020-09-09T14:30:00.000Z,21,83,0,84,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T14:30:00.000Z,2020-09-09T14:45:00.000Z,17,68,0,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T14:45:00.000Z,2020-09-09T15:00:00.000Z,10,40,0,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T15:00:00.000Z,2020-09-09T15:15:00.000Z,13,52,0,91,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T15:15:00.000Z,2020-09-09T15:30:00.000Z,15,60,0,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T15:30:00.000Z,2020-09-09T15:45:00.000Z,4,16,0,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T15:45:00.000Z,2020-09-09T16:00:00.000Z,10,40,0,87,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T16:00:00.000Z,2020-09-09T16:15:00.000Z,8,32,0,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T16:15:00.000Z,2020-09-09T16:30:00.000Z,8,32,0,86,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T16:30:00.000Z,2020-09-09T16:45:00.000Z,5,20,0,86,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T16:45:00.000Z,2020-09-09T17:00:00.000Z,6,24,0,87,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T17:00:00.000Z,2020-09-09T17:15:00.000Z,11,44,0,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T17:15:00.000Z,2020-09-09T17:30:00.000Z,8,32,0,88,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T17:30:00.000Z,2020-09-09T17:45:00.000Z,14,56,0,86,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T17:45:00.000Z,2020-09-09T18:00:00.000Z,9,36,0,88,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T18:00:00.000Z,2020-09-09T18:15:00.000Z,15,60,0,90,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T18:15:00.000Z,2020-09-09T18:30:00.000Z,21,83,0,89,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T18:30:00.000Z,2020-09-09T18:45:00.000Z,35,140,0,87,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T18:45:00.000Z,2020-09-09T19:00:00.000Z,27,108,0,91,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T19:00:00.000Z,2020-09-09T19:15:00.000Z,49,196,1,89,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T19:15:00.000Z,2020-09-09T19:30:00.000Z,71,284,2,86,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T19:30:00.000Z,2020-09-09T19:45:00.000Z,84,335,2,87,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T19:45:00.000Z,2020-09-09T20:00:00.000Z,89,356,3,86,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T20:00:00.000Z,2020-09-09T20:15:00.000Z,128,512,4,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T20:15:00.000Z,2020-09-09T20:30:00.000Z,130,520,4,84,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T20:30:00.000Z,2020-09-09T20:45:00.000Z,116,464,4,81,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T20:45:00.000Z,2020-09-09T21:00:00.000Z,126,504,4,81,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T21:00:00.000Z,2020-09-09T21:15:00.000Z,119,476,4,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T21:15:00.000Z,2020-09-09T21:30:00.000Z,132,528,4,81,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T21:30:00.000Z,2020-09-09T21:45:00.000Z,130,520,4,82,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T21:45:00.000Z,2020-09-09T22:00:00.000Z,143,572,4,81,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T22:00:00.000Z,2020-09-09T22:15:00.000Z,136,544,4,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T22:15:00.000Z,2020-09-09T22:30:00.000Z,116,464,3,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T22:30:00.000Z,2020-09-09T22:45:00.000Z,146,584,5,80,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T22:45:00.000Z,2020-09-09T23:00:00.000Z,110,440,3,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T23:00:00.000Z,2020-09-09T23:15:00.000Z,143,572,4,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T23:15:00.000Z,2020-09-09T23:30:00.000Z,115,460,3,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T23:30:00.000Z,2020-09-09T23:45:00.000Z,143,572,4,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T23:45:00.000Z,2020-09-10T00:00:00.000Z,126,504,3,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-10T00:00:00.000Z,2020-09-10T00:15:00.000Z,112,448,3,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T00:15:00.000Z,2020-09-10T00:30:00.000Z,117,468,3,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T00:30:00.000Z,2020-09-10T00:45:00.000Z,132,528,4,81,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T00:45:00.000Z,2020-09-10T01:00:00.000Z,139,556,4,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T01:00:00.000Z,2020-09-10T01:15:00.000Z,124,496,3,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T01:15:00.000Z,2020-09-10T01:30:00.000Z,139,556,4,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T01:30:00.000Z,2020-09-10T01:45:00.000Z,146,584,4,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T01:45:00.000Z,2020-09-10T02:00:00.000Z,150,600,4,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T02:00:00.000Z,2020-09-10T02:15:00.000Z,144,576,4,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T02:15:00.000Z,2020-09-10T02:30:00.000Z,147,588,4,84,15,2020,9,10
